
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 3 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/3follower/training_20251025_160828.log
============================================================

Episode 190, Steps:   36, Total:  866.84, Leader:  921.51, [F0: -16.28, F1: -9.13, F2: -29.26] - ✓ success
Episode 191, Steps:   23, Total:  911.51, Leader:  940.58, [F0: -15.71, F1: -8.17, F2: -5.20] - ✓ success
Episode 192, Steps:   36, Total:  816.93, Leader:  883.94, [F0: -10.63, F1: -20.12, F2: -36.25] - ✓ success
Episode 193, Steps:   32, Total:  905.07, Leader:  940.92, [F0: -0.17, F1: -17.62, F2: -18.06] - ✓ success
Episode 194, Steps:   26, Total:  915.38, Leader:  937.70, [F0: -8.40, F1: -14.41, F2: 0.49] - ✓ success
Episode 195, Steps:   23, Total:  868.50, Leader:  930.92, [F0: -21.40, F1: -21.38, F2: -19.64] - ✓ success
Episode 196, Steps:   24, Total:  925.84, Leader:  945.68, [F0: -9.46, F1: -7.89, F2: -2.48] - ✓ success
Episode 197, Steps:   46, Total:  731.49, Leader:  864.56, [F0: -38.14, F1: -28.44, F2: -66.49] - ✓ success
Episode 198, Steps:   33, Total:  873.00, Leader:  906.13, [F0: -17.33, F1: 0.35, F2: -16.14] - ✓ success
Episode 199, Steps:   25, Total:  919.20, Leader:  936.25, [F0: -2.73, F1: -0.24, F2: -14.08] - ✓ success
Episode 200, Steps:   41, Total:  807.85, Leader:  878.29, [F0: -16.28, F1: -26.74, F2: -27.42] - ✓ success
Episode 201, Steps:   36, Total:  849.50, Leader:  910.29, [F0: -17.18, F1: -1.34, F2: -42.27] - ✓ success
Episode 202, Steps:   31, Total:  912.30, Leader:  941.74, [F0: -16.29, F1: -2.36, F2: -10.79] - ✓ success
Episode 203, Steps:   43, Total:  792.37, Leader:  864.73, [F0: -12.02, F1: -19.20, F2: -41.14] - ✓ success
Episode 204, Steps:   37, Total:  840.88, Leader:  900.63, [F0: -9.46, F1: -11.10, F2: -39.19] - ✓ success
Episode 205, Steps:   31, Total:  926.70, Leader:  937.26, [F0: 1.26, F1: 0.57, F2: -12.39] - ✓ success
