
============================================================
🎓 开始训练
============================================================
  Leader × 1 | Follower × 4 | Episodes: 500
  配置已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/config.yaml
  日志已保存: /home/zhangpeng/UAV_PATH_PLANNING/output/baseline/4follower/training_20251025_161652.log
============================================================

Episode 163, Steps:   51, Total:  699.37, Leader:  815.28, [F0: -32.48, F1: -19.39, F2: -28.01, F3: -36.02] - ✓ success
Episode 164, Steps:   46, Total:  787.22, Leader:  886.81, [F0: -13.39, F1: -26.09, F2: -40.39, F3: -19.72] - ✓ success
Episode 165, Steps:   77, Total:  595.62, Leader:  736.93, [F0: -33.27, F1: -31.85, F2: -45.57, F3: -30.61] - ✓ success
Episode 166, Steps:   55, Total:  681.16, Leader:  820.13, [F0: -23.71, F1: -40.71, F2: -48.55, F3: -26.01] - ✓ success
Episode 167, Steps:   87, Total:  578.26, Leader:  707.76, [F0: -43.11, F1: -33.23, F2: -41.06, F3: -12.10] - ✓ success
Episode 168, Steps:   41, Total:  857.84, Leader:  910.54, [F0: -3.74, F1: -8.18, F2: -39.77, F3: -1.01] - ✓ success
Episode 169, Steps:   41, Total:  822.04, Leader:  883.51, [F0: -8.98, F1: -21.52, F2: -20.61, F3: -10.37] - ✓ success
Episode 170, Steps:   53, Total:  704.53, Leader:  829.81, [F0: -27.80, F1: -17.55, F2: -36.83, F3: -43.10] - ✓ success
Episode 171, Steps:   67, Total:  644.07, Leader:  785.73, [F0: -21.76, F1: -32.05, F2: -56.76, F3: -31.08] - ✓ success
Episode 172, Steps:   75, Total:  632.45, Leader:  758.52, [F0: -35.05, F1: -7.65, F2: -71.34, F3: -12.04] - ✓ success
Episode 173, Steps:   57, Total:  733.53, Leader:  832.68, [F0: -11.20, F1: -17.98, F2: -56.44, F3: -13.53] - ✓ success
Episode 174, Steps:   44, Total:  827.74, Leader:  895.58, [F0: 3.41, F1: -17.21, F2: -26.21, F3: -27.84] - ✓ success
Episode 175, Steps:   56, Total:  649.74, Leader:  818.30, [F0: -31.92, F1: -18.34, F2: -75.85, F3: -42.45] - ✓ success
Episode 176, Steps:    6, Total: -538.92, Leader: -528.16, [F0: -3.64, F1: -2.15, F2: -3.94, F3: -1.02] - ✗ failure
Episode 177, Steps:   96, Total:  439.39, Leader:  701.02, [F0: -62.88, F1: -39.74, F2: -44.56, F3: -114.45] - ✓ success
Episode 178, Steps:  106, Total:  571.46, Leader:  689.88, [F0: -38.89, F1: -18.11, F2: -33.59, F3: -27.83] - ✓ success
Episode 179, Steps:   48, Total:  756.40, Leader:  877.89, [F0: -24.12, F1: -22.07, F2: -56.89, F3: -18.43] - ✓ success
Episode 180, Steps:   57, Total:  716.31, Leader:  850.19, [F0: -17.36, F1: -34.66, F2: -36.77, F3: -45.09] - ✓ success
Episode 181, Steps:  220, Total: -1699.83, Leader: -1008.75, [F0: -156.39, F1: -114.77, F2: -256.07, F3: -163.85] - ✓ success
